Amostra; x1; x2; x3; x4; rotulo
1; 0.4329;-13.719; 0.7022; -0.8535;1
2; 0.3024; 0.2286; 0.8630;27.909;-1
3; 0.1349; -0.6445;10.530; 0.5687;-1
4; 0.3374;-17.163; 0.3670; -0.6283;-1
5;11.434; -0.0485; 0.6637;12.606;1
6;13.749; -0.5071; 0.4464;13.009;1
7; 0.7221; -0.7587; 0.7681; -0.5592;1
8; 0.4403; -0.8072; 0.5154; -0.3129;1
9; -0.5231; 0.3548; 0.2538;15.776;-1
10; 0.3255;-20.000; 0.7112;-11.209;1
11; 0.5824;13.915; -0.2291;41.735;-1
12; 0.1340; 0.6081; 0.4450;32.230;-1
13; 0.1480; -0.2988; 0.4778; 0.8649;1
14; 0.7359; 0.1869; -0.0872;23.584;1
15; 0.7115;-11.469; 0.3394; 0.9573;-1
16; 0.8251;-12.840; 0.8452;12.382;-1
17; 0.1569; 0.3712; 0.8825;17.633;1
18; 0.0033; 0.6835; 0.5389;28.249;-1
19; 0.4243; 0.8313; 0.2634;35.855;-1
20;10.490; 0.1326; 0.9138;19.792;1
21;14.276; 0.5331; -0.0145;37.286;1
22; 0.5971;14.865; 0.2904;46.069;-1
23; 0.8475;21.479; 0.3179;58.235;-1
24;13.967; -0.4171; 0.6443;13.927;1
25; 0.0044;15.378; 0.6099;47.755;-1
26; 0.2201; -0.5668; 0.0515; 0.7829;1
27; 0.6300;-12.480; 0.8591; 0.8093;-1
28; -0.2479; 0.8960; 0.0547;17.381;1
29; -0.3088; -0.0929; 0.8659;15.483;-1
30; -0.5180;14.974; 0.5453;23.993;1
31; 0.6833; 0.8266; 0.0829;28.864;1
32; 0.4353;-14.066; 0.4207; -0.4879;1
33; -0.1069;-32.329; 0.1856;-24.572;-1
34; 0.4662; 0.6261; 0.7304;34.370;-1
35; 0.8298;-14.089; 0.3119;13.235;-1
