codarea,lat,long
1100015,-62.2749919370413,-12.472449156384664
1100023,-62.95600560681858,-9.952527179023843
1100031,-60.64106212463774,-13.474839225679268
1100049,-61.3253617591828,-11.301188915933349
1100056,-61.25970785432883,-13.20291782210399
1100064,-60.54883254004206,-13.1592292477398
1100072,-61.09033383728595,-12.926785765626859
1100080,-64.05882626881247,-12.146506470667317
1100098,-60.784915752499046,-11.351585141840527
1100106,-64.53787115236462,-11.30449234974348
1100114,-62.58260547628808,-10.590212313946896
1100122,-61.75702808605509,-10.462129660739267
1100130,-62.010480163257405,-9.204702678536641
1100148,-62.280149428692354,-11.643381156235847
1100155,-62.17160869135329,-10.609203718657708
1100189,-60.830370799145804,-11.894112232683295
1100205,-64.30322348128558,-9.152822625991053
1100254,-61.877667244996296,-11.16612634920614
1100262,-62.7921378472802,-9.645149518559068
1100288,-61.77253274022577,-11.732813506407927
1100296,-61.700825400686014,-12.026697617462327
1100304,-60.24877853693951,-12.095636679865699
1100320,-62.982374623099844,-11.616092178838747
1100338,-64.62935828386107,-10.381654633050521
1100346,-62.54511587402178,-11.309888158394216
1100379,-61.87890864362481,-12.592371250508334
1100403,-63.394799856125836,-9.650895783309222
1100452,-63.94046029238378,-10.052764147311716
1100502,-62.08295369915746,-11.680258174775213
1100601,-62.98650029641094,-10.331584684019846
1100700,-63.80013436645635,-10.487023586430741
1100809,-63.32617486036813,-8.887472744124658
1100908,-61.88063031184492,-11.470312047326798
1100924,-60.897884632499625,-12.537260126843652
1100940,-62.56584895266223,-9.170317088337868
1101005,-63.184274734547095,-10.748899492834944
1101104,-63.045061522585144,-9.172524401002878
1101203,-61.56856306713504,-11.159817125143839
1101302,-62.85070108209242,-11.076650740479323
1101401,-63.37221597153138,-10.212641617749867
1101435,-62.532472191350635,-10.888805102107714
1101450,-61.415015556313875,-12.262514434923427
1101468,-61.54597288175789,-13.173821221421738
1101476,-61.31635395695469,-11.88004634685736
1101484,-61.467976064876716,-11.904401474157716
1101492,-63.12278416306671,-12.367978097776602
1101500,-63.23150814112453,-11.80557466447875
1101559,-62.27951303720008,-10.943286322961049
1101609,-62.34293375003269,-10.121408156767608
1101708,-62.42409990812018,-11.10352597182097
1101757,-61.93891757179381,-9.733145726657956
1101807,-62.093792645372524,-10.383481141941619
1200013,-66.94986211282763,-9.934022863051931
