,municipio,ibge,ocorrencias,uf,obitos,feridos,enfermos,desabrigados,desalojados,desaparecidos,outros,saude_dest,saude_danif,saude_valor,ensino_dest,ensino_danif,ensino_valor,outros_dest,outros_danif,outros_valor,comuni_dest,comuni_danif,comuni_valor,hab_dest,habt_danif,hab_valor,infra_dest,infra_danif,infra_valor,agricultura,pecuaria,industria,servicos,total_privado,saude,agua,esgoto,limpeza,pragas,energia,telecom,transportes,combustiveis,seguranca,ensino,total_publico,total_danos_materiais,total_danos_humanos,prejuizos_totais
0,Abadia dos Dourados,3100104,4,MG,3,0,0,215,550,0,7854,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,4,25,685000.0,22,0,1250000.0,544000.0,220000.0,0.0,0.0,764000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183000.0,0.0,0.0,0.0,183000.0,1935000.0,8622.0,947000.0
1,Abadiânia,5200100,1,GO,0,0,0,0,130,0,0,0,0,0.0,0,1,200000.0,0.0,0.0,0.0,0,0,0.0,0,58,2320000.0,0,0,0.0,50000.0,50000.0,100000.0,300000.0,500000.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,2520000.0,130.0,520000.0
2,Abaetetuba,1500107,7,PA,0,2,173,41,237,0,3352,0,1,0.0,0,6,0.0,0.0,0.0,0.0,1,0,853678.0,17,246,4201904.0,1,1,2289122.8,5984040.0,450000.0,0.0,1800000.0,8234040.0,18982.0,0.0,2084.0,0.0,0.0,1765.68,1555.5,20014035.56,5336.0,36700.0,0.0,20080458.74,7344704.5,3805.0,28314498.8
3,Abaeté,3100203,2,MG,0,0,0,25,180,0,25,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1,69,395000.0,5,0,9550000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,27000.0,9945000.0,230.0,27000.0
4,Abaiara,2300101,9,CE,0,0,0,0,24,0,23632,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,2,3,600000.0,11909434.0,626800.0,0.0,0.0,12536234.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,10550.0,0.0,0.0,310550.0,600000.0,23656.0,12846784.0
5,Abaré,2900207,27,BA,0,0,34350,741,0,0,131619,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,127,83,568000.0,0,17,42904290.0,20890000.0,19571788.0,0.0,34414000.0,74875788.0,4149800.0,48996852.0,50000.0,0.0,0.0,0.0,0.0,541260.0,0.0,0.0,3000.0,53740912.0,43472290.0,166710.0,128616700.0
6,Abatiá,4100103,1,PR,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Abaíra,2900108,17,BA,0,0,0,0,600,0,39476,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,36869000.0,9016397.5,1522000.0,2748000.0,50155397.5,0.0,1319008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319008.0,0.0,40076.0,51474405.5
8,Abdon Batista,4200051,30,SC,0,12,1,465,769,0,15078,0,2,7000.0,0,26,121700.0,0.0,0.0,0.0,0,16,205500.0,10,731,2109900.0,25,142,11772500.0,57083732.0,5435604.8,35000.0,505000.0,63059336.0,26800.0,894822.38,94000.0,57000.0,5000.0,433000.0,179000.0,6309700.0,200.0,25000.0,138000.0,8162522.38,14216599.99,16325.0,71221858.49
9,Abel Figueiredo,1500131,3,PA,0,0,510,0,296,0,3355,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,4,27,203000.0,20,4,2367654.8,44000.0,28000.0,16000.0,22300.0,110300.0,184369.65,3500.0,0.0,30400.0,0.0,0.0,0.0,561685.03,0.0,0.0,52200.0,832154.7,2570654.8,4161.0,942454.7
